Region,Year,Yield,Production,Area
Barossa Valley,2022,4.3,48572,11445
Barossa Valley,2023,5.7,66031,11638
Beechworth,2001,4,141,34
Beechworth,2002,6.1,275,44
Beechworth,2003,3.9,361,92
Beechworth,2004,6.6,575,86
Beechworth,2005,7.5,710,94
Beechworth,2006,6.4,530,82
Beechworth,2007,2.3,189,83
Beechworth,2008,8.3,813,96
Beechworth,2009,1.8,46,71
Beechworth,2010,3,175,57
Beechworth,2011,2.8,93,72
Beechworth,2012,5.8,573,98
Beechworth,2013,0.9,37,97
Beechworth,2014,0.4,18,98
Beechworth,2015,5.9,635,106
Beechworth,2016,2.9,316,115
Beechworth,2017,2.3,269,123
Beechworth,2018,3.1,396,132
Beechworth,2019,2.7,366,140
Beechworth,2020,0.3,17,140
Beechworth,2021,2.7,384,140
Beechworth,2022,3.1,438,140
Beechworth,2023,2.5,358,140
Bendigo,2001,5.2,3208,606
Bendigo,2002,3.5,2797,784
Bendigo,2003,3.8,2624,688
Bendigo,2004,5.1,3374,660
Bendigo,2005,5.2,3538,668
Bendigo,2006,4,2657,650
Bendigo,2007,3.3,2841,846
Bendigo,2008,7.5,7006,928
Bendigo,2009,2.6,1976,834
Bendigo,2010,4.1,3189,771
Bendigo,2011,0.7,447,702
Bendigo,2012,3.1,1965,640
Bendigo,2013,2.8,1570,625
Bendigo,2014,2.3,1311,615
Bendigo,2015,3.9,2411,610
Bendigo,2016,1.2,674,615
Bendigo,2017,2.6,1582,620
Bendigo,2018,2.8,1656,625
Bendigo,2019,3.5,2154,631
Bendigo,2020,2.3,1399,631
Bendigo,2021,2.8,1774,631
Bendigo,2022,2.4,1523,631
Bendigo,2023,1.1,663,631
Big Rivers - other,2001,10.2,10425,1015
Big Rivers - other,2002,12.6,9885,783
Big Rivers - other,2003,8.1,7606,936
Big Rivers - other,2004,11.1,8429,756
Big Rivers - other,2005,13,9812,750
Big Rivers - other,2006,10.1,6274,665
Big Rivers - other,2007,9.4,4206,477
Big Rivers - other,2008,10.4,4262,459
Big Rivers - other,2009,21.2,8284,494
Big Rivers - other,2010,11.6,7031,629
Big Rivers - other,2011,12.7,3238,528
Big Rivers - other,2012,9.5,4750,496
Big Rivers - other,2013,20.5,11343,527
Big Rivers - other,2014,5.6,4749,558
Big Rivers - other,2015,16.7,10107,604
Big Rivers - other,2016,10.8,6550,604
Big Rivers - other,2017,12.7,7881,604
Big Rivers - other,2018,11.2,7288,604
Big Rivers - other,2019,8.6,5687,604
Big Rivers - other,2020,11.2,7369,604
Big Rivers - other,2021,12,7799,604
Big Rivers - other,2022,9.5,5817,604
Big Rivers - other,2023,1.4,644,604
Blackwood Valley,2001,7.9,3996,501
Blackwood Valley,2002,7.8,4900,629
Blackwood Valley,2003,7,4680,664
Blackwood Valley,2004,9.8,5348,540
Blackwood Valley,2005,6.9,3916,566
Blackwood Valley,2006,5.1,2969,574
Blackwood Valley,2007,5.2,2021,388
Blackwood Valley,2008,7.1,2564,363
Blackwood Valley,2009,2.3,641,305
Blackwood Valley,2010,5.1,1262,249
Blackwood Valley,2011,0.3,95,293
Blackwood Valley,2012,5.1,1746,342
Blackwood Valley,2013,0.7,211,329
Blackwood Valley,2014,0.4,85,316
Blackwood Valley,2015,5.4,1628,303
Blackwood Valley,2016,1.4,438,306
Blackwood Valley,2017,3,930,309
Blackwood Valley,2018,2.6,819,311
Blackwood Valley,2019,2.3,706,314
Blackwood Valley,2020,2.2,631,314
Blackwood Valley,2021,2.9,857,314
Blackwood Valley,2022,3.9,1240,314
Blackwood Valley,2023,4.2,1337,314
Canberra District,2001,4.4,549,125
Canberra District,2002,4.5,1391,307
Canberra District,2003,3.9,996,254
Canberra District,2004,5.8,1923,328
Canberra District,2005,5.1,1824,352
Canberra District,2006,4.8,1738,360
Canberra District,2007,2.3,1170,499
Canberra District,2008,6.8,3164,461
Canberra District,2009,2.1,784,472
Canberra District,2010,4.1,2005,487
Canberra District,2011,2.4,297,455
Canberra District,2012,1.7,740,427
Canberra District,2013,0.7,83,392
Canberra District,2014,0.8,97,362
Canberra District,2015,4.6,1556,334
Canberra District,2016,1.3,432,330
Canberra District,2017,1.1,352,326
Canberra District,2018,0.6,211,322
Canberra District,2019,1.6,515,318
Canberra District,2020,0,0,318
Canberra District,2021,1.5,508,318
Canberra District,2022,0.9,307,318
Canberra District,2023,1.4,456,318
Central Ranges - other,2001,1.9,583,302
Central Ranges - other,2002,2.5,314,129
Central Ranges - other,2003,5.6,1356,239
Central Ranges - other,2004,1.8,350,187
Central Ranges - other,2005,4.2,764,184
Central Ranges - other,2006,2.9,537,185
Central Ranges - other,2007,6.5,1357,212
Central Ranges - other,2008,13.3,2658,199
Central Ranges - other,2009,18.8,3677,210
Central Ranges - other,2010,3.8,869,226
Central Ranges - other,2011,38.4,4676,135
Central Ranges - other,2012,1.3,69,56
Central Ranges - other,2013,26.4,3121,161
Central Ranges - other,2014,8.8,1830,267
Central Ranges - other,2015,5.2,2040,389
Central Ranges - other,2016,8.8,3098,389
Central Ranges - other,2017,14.2,5201,389
Central Ranges - other,2018,8.8,3353,389
Central Ranges - other,2019,9.6,3689,389
Central Ranges - other,2020,3.1,1186,389
Central Ranges - other,2021,3.6,1391,389
Central Ranges - other,2022,3,1144,389
Central Ranges - other,2023,3.6,1388,389
Central Victoria - other,2001,7.1,6246,876
Central Victoria - other,2002,3.4,4294,1259
Central Victoria - other,2003,5.1,3280,638
Central Victoria - other,2004,5,520,103
Central Victoria - other,2005,5.7,1691,296
Central Victoria - other,2006,8.9,2971,329
Central Victoria - other,2007,2.5,208,88
Central Victoria - other,2008,5.8,460,78
Central Victoria - other,2009,92.2,4254,65
Central Victoria - other,2010,6.1,347,56
Central Victoria - other,2011,37.3,3050,116
Central Victoria - other,2012,7.2,1324,183
Central Victoria - other,2013,40.9,5670,182
Central Victoria - other,2014,1.6,302,185
Central Victoria - other,2015,6.6,1281,190
Central Victoria - other,2016,13.7,2078,190
Central Victoria - other,2017,25.7,3854,190
Central Victoria - other,2018,16.1,2928,190
Central Victoria - other,2019,20.3,3872,190
Central Victoria - other,2020,14,2506,190
Central Victoria - other,2021,26.5,4699,190
Central Victoria - other,2022,25.6,4057,190
Central Victoria - other,2023,25.6,3924,190
Clare Valley,2001,7.5,23495,3073
Clare Valley,2002,7.3,27291,3705
Clare Valley,2003,4.5,19203,4209
Clare Valley,2004,7.2,33021,4513
Clare Valley,2005,6.3,30480,4816
Clare Valley,2006,6.9,35354,5069
Clare Valley,2007,3.1,17258,5526
Clare Valley,2008,4.1,22763,5421
Clare Valley,2009,4.6,25215,5437
Clare Valley,2010,3.9,21675,5423
Clare Valley,2011,3.4,18801,5398
Clare Valley,2012,3.6,19849,5387
Clare Valley,2013,3.3,17999,5265
Clare Valley,2014,3.8,19793,5206
Clare Valley,2015,3.1,16040,5130
Clare Valley,2016,4.1,20795,5102
Clare Valley,2017,5.4,27753,5053
Clare Valley,2018,4.6,23161,4918
Clare Valley,2019,4,20009,4861
Clare Valley,2020,2.4,11947,4896
Clare Valley,2021,4,19856,4863
Clare Valley,2022,5.4,26193,4973
Clare Valley,2023,4.6,22986,4952
Coonawarra,2001,13.7,53125,3841
Coonawarra,2002,4,17802,4367
Coonawarra,2003,4.6,23036,4975
Coonawarra,2004,12.3,62650,5054
Coonawarra,2005,6.9,36514,5250
Coonawarra,2006,6,32494,5401
Coonawarra,2007,2.9,17027,5737
Coonawarra,2008,6.9,40551,5848
Coonawarra,2009,6,34652,5679
Coonawarra,2010,6.4,36094,5583
Coonawarra,2011,4.5,26109,5670
Coonawarra,2012,4.1,23920,5704
Coonawarra,2013,6.1,34301,5602
Coonawarra,2014,4.2,23482,5488
Coonawarra,2015,4.9,27138,5456
Coonawarra,2016,6.6,35497,5447
Coonawarra,2017,6.5,36510,5561
Coonawarra,2018,5.1,29692,5705
Coonawarra,2019,6.5,37242,5682
Coonawarra,2020,4.6,26241,5586
Coonawarra,2021,8.9,50198,5579
Coonawarra,2022,6.6,36121,5479
Coonawarra,2023,3.6,20373,5641
Cowra,2001,10.4,16067,1533
Cowra,2002,7.6,11536,1514
Cowra,2003,9,14427,1585
Cowra,2004,10.1,16619,1630
Cowra,2005,12.9,29255,2258
Cowra,2006,10.7,19799,1843
Cowra,2007,8.8,18806,2116
Cowra,2008,11.2,23265,2071
Cowra,2009,5.1,8129,1727
Cowra,2010,3.6,5151,1427
Cowra,2011,3.8,5046,1349
Cowra,2012,3.5,4501,1293
Cowra,2013,5,5390,1072
Cowra,2014,0.8,642,855
Cowra,2015,7.9,5105,642
Cowra,2016,5.9,4140,714
Cowra,2017,5.1,4014,786
Cowra,2018,5,4246,858
Cowra,2019,3.2,2938,929
Cowra,2020,3.1,2754,929
Cowra,2021,2.7,2286,929
Cowra,2022,0.1,165,929
Cowra,2023,3.9,2962,929
Eden Valley,2001,7.2,11131,1221
Eden Valley,2002,5.4,8396,1277
Eden Valley,2003,5.1,9447,1804
Eden Valley,2004,8.7,16319,1864
Eden Valley,2005,7.3,15615,2124
Eden Valley,2006,5.7,12703,2170
Eden Valley,2007,3.8,8606,2248
Eden Valley,2008,6.2,13793,2186
Eden Valley,2009,3.8,8484,2203
Eden Valley,2010,4.9,10876,2215
Eden Valley,2011,5.6,12261,2190
Eden Valley,2012,4.5,9961,2207
Eden Valley,2013,4.4,9799,2200
Eden Valley,2014,2.9,6461,2202
Eden Valley,2015,4.4,9657,2186
Eden Valley,2016,4.5,9991,2219
Eden Valley,2017,5.3,11975,2231
Eden Valley,2018,5,11595,2274
Eden Valley,2019,2.4,5478,2184
Eden Valley,2020,1.6,3623,2230
Eden Valley,2021,4.2,9668,2253
Eden Valley,2022,3.1,6842,2195
Eden Valley,2023,3.1,7128,2267
Southern Fleurieu,2001,19.1,5065,256
Southern Fleurieu,2002,7.7,4111,529
Southern Fleurieu,2003,9.8,7111,724
Southern Fleurieu,2004,11.1,10426,932
Southern Fleurieu,2005,9.1,9980,1150
Southern Fleurieu,2006,10.8,14641,1353
Southern Fleurieu,2007,6.9,10135,1448
Southern Fleurieu,2008,12.5,21256,1686
Southern Fleurieu,2009,9.6,15816,1731
Southern Fleurieu,2010,6.5,11714,1794
Southern Fleurieu,2011,4.8,8784,1836
Southern Fleurieu,2012,4.9,9154,1858
Southern Fleurieu,2013,6.7,12861,1907
Southern Fleurieu,2014,5.3,10129,1889
Southern Fleurieu,2015,5.9,11197,1884
Southern Fleurieu,2016,7.5,13254,1879
Southern Fleurieu,2017,6.4,12349,1878
Southern Fleurieu,2018,5.2,9376,1825
Southern Fleurieu,2019,3.6,6594,1834
Southern Fleurieu,2020,3.1,6109,1821
Southern Fleurieu,2021,5.2,10102,1816
Southern Fleurieu,2022,24,43357,1820
Southern Fleurieu,2023,2.9,5074,1738
Geelong,2001,6.8,2215,321
Geelong,2002,1.8,805,428
Geelong,2003,3.5,1348,383
Geelong,2004,6.2,3110,494
Geelong,2005,5.9,2633,439
Geelong,2006,4.7,2172,458
Geelong,2007,2.3,1041,447
Geelong,2008,6,2771,459
Geelong,2009,0,0,484
Geelong,2010,3.9,2025,514
Geelong,2011,4.3,366,450
Geelong,2012,3.1,1248,398
Geelong,2013,1.6,90,353
Geelong,2014,2.6,133,314
Geelong,2015,3.5,1005,284
Geelong,2016,3,975,329
Geelong,2017,3.3,1242,374
Geelong,2018,4.1,1703,419
Geelong,2019,1.9,870,463
Geelong,2020,2.1,983,463
Geelong,2021,2.5,1159,463
Geelong,2022,2.4,1103,463
Geelong,2023,2.5,1128,463
Geographe,2001,6.2,3008,479
Geographe,2002,6.5,4038,625
Geographe,2003,6,3886,638
Geographe,2004,7.4,5136,692
Geographe,2005,6.7,5124,761
Geographe,2006,5.9,3563,598
Geographe,2007,6.2,5613,900
Geographe,2008,7.4,6600,881
Geographe,2009,2.2,2078,1029
Geographe,2010,5.2,6231,1181
Geographe,2011,2.1,2251,1100
Geographe,2012,6.5,6764,1025
Geographe,2013,4,2947,781
Geographe,2014,5.2,2247,555
Geographe,2015,5.1,1744,337
Geographe,2016,7.1,3042,449
Geographe,2017,4.4,2447,560
Geographe,2018,2.9,1935,672
Geographe,2019,1.7,1357,787
Geographe,2020,2.1,1642,787
Geographe,2021,2.5,2005,787
Geographe,2022,2.7,2160,787
Geographe,2023,2.6,2013,787
Gippsland,2001,5,869,173
Gippsland,2002,1.3,222,161
Gippsland,2003,2.8,496,175
Gippsland,2004,3.5,617,171
Gippsland,2005,3.4,618,180
Gippsland,2006,3,571,188
Gippsland,2007,2.5,485,194
Gippsland,2008,4.5,837,185
Gippsland,2009,0,0,207
Gippsland,2010,3.2,804,235
Gippsland,2011,0,0,233
Gippsland,2012,2.4,583,240
Gippsland,2013,0,0,214
Gippsland,2014,0,0,196
Gippsland,2015,3.1,561,179
Gippsland,2016,0.3,52,188
Gippsland,2017,1,200,198
Gippsland,2018,0.2,32,207
Gippsland,2019,0.8,162,216
Gippsland,2020,0.7,149,216
Gippsland,2021,1.1,232,216
Gippsland,2022,0.7,154,216
Gippsland,2023,1.2,259,216
Glenrowan,2001,0,0,0
Glenrowan,2002,0,0,0
Glenrowan,2003,0,0,0
Glenrowan,2004,9.3,1972,210
Glenrowan,2005,9.1,1916,209
Glenrowan,2006,8.1,1651,202
Glenrowan,2007,2.8,588,205
Glenrowan,2008,6.4,1329,205
Glenrowan,2009,0,0,198
Glenrowan,2010,3.2,651,202
Glenrowan,2011,0,0,179
Glenrowan,2012,5.2,910,175
Glenrowan,2013,1.2,100,169
Glenrowan,2014,0,0,164
Glenrowan,2015,5.5,995,178
Glenrowan,2016,4.1,759,184
Glenrowan,2017,6.5,1232,190
Glenrowan,2018,4.9,976,196
Glenrowan,2019,4.1,870,202
Glenrowan,2020,1.7,381,202
Glenrowan,2021,3.1,661,202
Glenrowan,2022,6.5,1317,202
Glenrowan,2023,3.7,792,202
Goulburn Valley,2001,9,9818,1089
Goulburn Valley,2002,6.5,6442,991
Goulburn Valley,2003,5.5,5590,1006
Goulburn Valley,2004,7.5,7852,1042
Goulburn Valley,2005,7.7,8620,1109
Goulburn Valley,2006,6.3,10174,1614
Goulburn Valley,2007,4.1,5667,1368
Goulburn Valley,2008,9.9,15104,1525
Goulburn Valley,2009,5.1,6379,1567
Goulburn Valley,2010,7.2,11672,1612
Goulburn Valley,2011,5.5,6706,1479
Goulburn Valley,2012,7.1,9705,1369
Goulburn Valley,2013,4.6,4290,1231
Goulburn Valley,2014,6.8,6467,1115
Goulburn Valley,2015,10,10270,1017
Goulburn Valley,2016,8.9,9290,1064
Goulburn Valley,2017,7.9,8646,1112
Goulburn Valley,2018,5.4,6237,1160
Goulburn Valley,2019,7,8330,1211
Goulburn Valley,2020,5.4,6411,1211
Goulburn Valley,2021,7.2,8609,1211
Goulburn Valley,2022,5.7,6854,1211
Goulburn Valley,2023,2.1,2487,1211
Grampians,2001,4.4,1765,423
Grampians,2002,2.6,1299,498
Grampians,2003,2.8,1405,490
Grampians,2004,6.7,3446,511
Grampians,2005,4.7,2802,596
Grampians,2006,3.6,2153,591
Grampians,2007,3.1,1697,536
Grampians,2008,4.1,2317,563
Grampians,2009,5.4,2521,531
Grampians,2010,5.4,2753,505
Grampians,2011,3.4,1296,534
Grampians,2012,2.1,1206,563
Grampians,2013,2.5,1145,541
Grampians,2014,2.6,1102,523
Grampians,2015,1.8,962,510
Grampians,2016,2.4,1295,540
Grampians,2017,6,3387,570
Grampians,2018,3,1844,599
Grampians,2019,3.6,2313,633
Grampians,2020,2.1,1371,633
Grampians,2021,5.3,3412,633
Grampians,2022,3.1,1964,633
Grampians,2023,2,1276,633
Granite Belt,2001,7.6,1080,141
Granite Belt,2002,12.1,2101,173
Granite Belt,2003,6.9,970,140
Granite Belt,2004,13.9,2507,180
Granite Belt,2005,14,2597,184
Granite Belt,2006,12.3,2350,189
Granite Belt,2007,7.5,1472,195
Granite Belt,2008,11,2142,194
Granite Belt,2009,9.7,1458,150
Granite Belt,2010,2.4,799,331
Granite Belt,2011,2.2,752,329
Granite Belt,2012,2.1,734,333
Granite Belt,2013,2.3,625,273
Granite Belt,2014,2.3,578,246
Granite Belt,2015,2.3,563,237
Granite Belt,2016,2.7,681,265
Granite Belt,2017,2.2,627,293
Granite Belt,2018,1.4,442,322
Granite Belt,2019,1.8,607,350
Granite Belt,2020,0.2,66,350
Granite Belt,2021,0.6,235,350
Granite Belt,2022,0.9,299,350
Granite Belt,2023,1.2,437,350
Great Southern,2001,5.9,14242,2391
Great Southern,2002,5.4,14724,2677
Great Southern,2003,5.6,16159,2889
Great Southern,2004,7.8,22775,2896
Great Southern,2005,5.8,16292,2772
Great Southern,2006,4.6,12463,2692
Great Southern,2007,4.6,13162,2801
Great Southern,2008,6.2,19722,3145
Great Southern,2009,2,6101,2967
Great Southern,2010,5.3,15046,2804
Great Southern,2011,1.4,3372,2590
Great Southern,2012,5.7,13839,2388
Great Southern,2013,1.8,3837,2213
Great Southern,2014,2.5,5076,2049
Great Southern,2015,3.2,6205,1886
Great Southern,2016,3.3,6723,2018
Great Southern,2017,3.3,7174,2149
Great Southern,2018,2,4541,2281
Great Southern,2019,1.8,4569,2414
Great Southern,2020,2.2,5450,2414
Great Southern,2021,3.4,8298,2414
Great Southern,2022,2.9,7104,2414
Great Southern,2023,2,4834,2414
Mount Gambier,2001,3.6,1400,394
Mount Gambier,2002,5.4,2654,510
Mount Gambier,2003,4.9,1770,363
Mount Gambier,2004,6.1,1486,243
Mount Gambier,2005,4.1,888,214
Mount Gambier,2006,4.4,778,175
Mount Gambier,2007,3.4,577,165
Mount Gambier,2008,4.1,653,157
Mount Gambier,2009,0,0,85
Mount Gambier,2010,3.8,114,35
Mount Gambier,2011,0,0,40
Mount Gambier,2012,5.5,297,56
Mount Gambier,2013,0,0,84
Mount Gambier,2014,0,0,116
Mount Gambier,2015,3.6,602,168
Mount Gambier,2016,0.4,4,168
Mount Gambier,2017,1.5,14,168
Mount Gambier,2018,0,0,168
Mount Gambier,2019,0.7,19,168
Mount Gambier,2020,0,0,168
Mount Gambier,2021,2,127,168
Mount Gambier,2022,0,0,168
Mount Gambier,2023,0,0,168
Gundagai,2001,0,0,0
Gundagai,2002,4,1644,404
Gundagai,2003,8,4070,506
Gundagai,2004,11.9,4181,349
Gundagai,2005,13.8,5624,404
Gundagai,2006,12.5,4742,380
Gundagai,2007,8.9,5030,562
Gundagai,2008,10.9,6194,564
Gundagai,2009,10.2,4724,461
Gundagai,2010,11,4518,408
Gundagai,2011,5.2,1995,355
Gundagai,2012,5.6,1833,333
Gundagai,2013,15.7,4972,331
Gundagai,2014,5.2,1661,330
Gundagai,2015,7.2,2172,331
Gundagai,2016,10.8,4364,406
Gundagai,2017,10.1,4909,481
Gundagai,2018,9.9,5627,557
Gundagai,2019,5.4,3511,634
Gundagai,2020,0.8,377,634
Gundagai,2021,3.1,1958,634
Gundagai,2022,7.8,5159,634
Gundagai,2023,10.3,6723,634
Hastings River,2001,2.3,228,117
Hastings River,2002,3.4,169,49
Hastings River,2003,4,146,37
Hastings River,2004,3.9,97,24
Hastings River,2005,4.8,96,19
Hastings River,2006,5,102,20
Hastings River,2007,7.1,128,17
Hastings River,2008,6.8,126,18
Hastings River,2009,0,0,18
Hastings River,2010,3.9,70,18
Hastings River,2011,0,0,16
Hastings River,2012,4.2,55,14
Hastings River,2013,0,0,9
Hastings River,2014,0,0,8
Hastings River,2015,4.6,52,12
Hastings River,2016,0,0,15
Hastings River,2017,3.4,29,18
Hastings River,2018,0,0,21
Hastings River,2019,0.2,5,23
Hastings River,2020,0.6,9,23
Hastings River,2021,0.2,3,23
Hastings River,2022,0,1,23
Hastings River,2023,2.2,18,23
Heathcote,2001,0,0,0
Heathcote,2002,0,0,0
Heathcote,2003,3,1105,359
Heathcote,2004,6.3,5086,795
Heathcote,2005,6,5642,929
Heathcote,2006,5.4,3116,575
Heathcote,2007,4.9,6739,1348
Heathcote,2008,9.1,12112,1317
Heathcote,2009,5.1,5928,1265
Heathcote,2010,6.8,8498,1245
Heathcote,2011,5.5,6724,1293
Heathcote,2012,6.4,9030,1405
Heathcote,2013,6.9,8712,1275
Heathcote,2014,6.2,7623,1212
Heathcote,2015,6.3,7729,1164
Heathcote,2016,5.7,7585,1287
Heathcote,2017,7.6,10862,1409
Heathcote,2018,5.7,8796,1532
Heathcote,2019,5.9,9923,1686
Heathcote,2020,4.2,7049,1686
Heathcote,2021,5.3,9148,1686
Heathcote,2022,5.5,9358,1686
Heathcote,2023,3.4,5854,1686
Henty,2001,7,1295,182
Henty,2002,0.7,149,191
Henty,2003,2.5,421,163
Henty,2004,6.6,1216,184
Henty,2005,4.4,868,196
Henty,2006,4.8,955,196
Henty,2007,2.5,496,192
Henty,2008,6.2,1078,171
Henty,2009,4.9,745,162
Henty,2010,5.4,993,182
Henty,2011,5.9,945,168
Henty,2012,4.2,662,155
Henty,2013,6.5,849,144
Henty,2014,2.4,308,145
Henty,2015,3.5,603,159
Henty,2016,5,805,156
Henty,2017,3.3,498,152
Henty,2018,5.8,855,149
Henty,2019,3.6,522,158
Henty,2020,1.6,230,158
Henty,2021,4,612,158
Henty,2022,3.2,477,158
Henty,2023,2.7,391,158
Hilltops,2001,5.3,1970,382
Hilltops,2002,7,3567,504
Hilltops,2003,3.1,1132,365
Hilltops,2004,5.9,3706,621
Hilltops,2005,5.8,4345,742
Hilltops,2006,5.3,3907,730
Hilltops,2007,2.8,2132,738
Hilltops,2008,6.2,4450,709
Hilltops,2009,5.8,3000,586
Hilltops,2010,4.2,2073,483
Hilltops,2011,4.5,2195,530
Hilltops,2012,5.8,3367,581
Hilltops,2013,6.5,3456,566
Hilltops,2014,3.5,1701,562
Hilltops,2015,7,4011,566
Hilltops,2016,4,2199,572
Hilltops,2017,4.6,2630,578
Hilltops,2018,3.6,2071,584
Hilltops,2019,3,1799,590
Hilltops,2020,1.8,1042,590
Hilltops,2021,2,1151,590
Hilltops,2022,2,1193,590
Hilltops,2023,1.3,753,590
Hunter,2001,6.7,26574,3946
Hunter,2002,7.2,29786,4137
Hunter,2003,5.3,23033,4302
Hunter,2004,6.4,28457,4446
Hunter,2005,5.4,23671,4379
Hunter,2006,5.8,24945,4238
Hunter,2007,4.3,19993,4563
Hunter,2008,6.3,28151,4420
Hunter,2009,2.2,8708,3939
Hunter,2010,3.9,13886,3473
Hunter,2011,1.9,5499,3043
Hunter,2012,4,10553,2627
Hunter,2013,1.7,4135,2484
Hunter,2014,1.4,3376,2414
Hunter,2015,3.1,7598,2379
Hunter,2016,1.1,2678,2438
Hunter,2017,1.4,3663,2496
Hunter,2018,1.8,4651,2554
Hunter,2019,1.9,4911,2622
Hunter,2020,0.8,2157,2622
Hunter,2021,1.5,4041,2622
Hunter,2022,2.1,5570,2622
Hunter,2023,1.7,4662,2622
Langhorne Creek,2001,19.1,51308,2675
Langhorne Creek,2002,11.2,44864,3967
Langhorne Creek,2003,10.6,49269,4601
Langhorne Creek,2004,11.3,54362,4784
Langhorne Creek,2005,11.6,60860,5203
Langhorne Creek,2006,11.9,68218,5705
Langhorne Creek,2007,6.9,40393,5836
Langhorne Creek,2008,10.1,59885,5952
Langhorne Creek,2009,7.7,46554,6058
Langhorne Creek,2010,7.7,46337,6000
Langhorne Creek,2011,6.6,39547,5954
Langhorne Creek,2012,8.1,48649,5951
Langhorne Creek,2013,7.8,46932,5813
Langhorne Creek,2014,8.3,48640,5790
Langhorne Creek,2015,6.6,38921,5689
Langhorne Creek,2016,10.7,60117,5691
Langhorne Creek,2017,10,59144,5727
Langhorne Creek,2018,7.2,44695,5878
Langhorne Creek,2019,7.1,43137,5839
Langhorne Creek,2020,4,24286,5799
Langhorne Creek,2021,9.1,53521,5813
Langhorne Creek,2022,2.7,15406,5864
Langhorne Creek,2023,4.6,26653,5812
Mount Benson,2001,9.8,10947,1116
Mount Benson,2002,6.2,11716,1811
Mount Benson,2003,6.6,15809,2368
Mount Benson,2004,11.9,30185,2561
Mount Benson,2005,8,22519,2802
